age,job,marital,education,housing,loan,month,duration,campaign,pdays,previous
30,management,married,university.degree,no,no,mar,116,1,999,0
37,admin.,married,university.degree,yes,no,nov,450,1,999,0
68,retired,married,basic.4y,yes,no,jul,665,1,999,0
31,admin.,single,high.school,no,no,jul,168,2,999,0
48,technician,divorced,university.degree,yes,no,apr,132,1,999,0
33,technician,married,professional.course,yes,no,may,349,4,999,0
59,self-employed,single,university.degree,yes,no,may,249,3,999,0
44,blue-collar,married,unknown,yes,no,may,336,3,999,0
28,unknown,single,unknown,yes,no,jun,169,1,999,0
50,management,married,university.degree,no,no,aug,89,3,4,1
33,entrepreneur,married,university.degree,no,no,nov,55,1,999,0
45,services,married,professional.course,yes,no,may,221,1,999,0
40,management,married,university.degree,no,no,jul,77,2,999,0
45,services,married,professional.course,no,no,aug,64,18,999,0
43,technician,divorced,university.degree,no,no,may,62,2,999,0
54,blue-collar,married,professional.course,yes,yes,may,198,3,999,0
53,technician,divorced,professional.course,no,no,may,249,1,999,0
35,self-employed,single,university.degree,yes,no,jul,106,1,999,0
30,technician,single,professional.course,yes,no,aug,445,1,999,0
25,technician,married,professional.course,yes,no,jun,149,2,999,0
35,services,divorced,professional.course,no,yes,aug,66,1,999,0
54,admin.,married,university.degree,yes,no,mar,415,1,999,0
30,blue-collar,married,basic.6y,no,no,jul,173,2,999,0
38,admin.,married,university.degree,yes,no,aug,173,1,999,0
35,admin.,married,university.degree,yes,no,oct,86,1,999,1
47,blue-collar,married,professional.course,yes,no,may,131,1,999,0
32,blue-collar,single,high.school,yes,no,jul,523,3,999,0
27,blue-collar,married,basic.9y,yes,no,may,383,1,999,0
40,blue-collar,married,basic.9y,unknown,unknown,nov,160,1,999,0
31,admin.,married,high.school,no,no,may,220,3,999,0
42,blue-collar,divorced,basic.9y,no,no,apr,20,2,999,0
40,blue-collar,married,basic.6y,yes,no,may,160,4,999,0
31,admin.,single,high.school,yes,no,nov,79,1,999,0
57,technician,married,basic.4y,no,no,jun,243,2,999,0
38,admin.,single,high.school,yes,no,apr,882,1,6,1
39,services,married,high.school,no,no,may,5,2,999,0
37,admin.,divorced,high.school,yes,yes,may,354,5,999,0
50,unemployed,married,professional.course,yes,yes,jul,225,1,999,0
33,blue-collar,single,basic.4y,yes,yes,apr,460,1,999,0
41,blue-collar,married,basic.6y,unknown,unknown,jun,202,1,999,0
37,entrepreneur,married,basic.6y,unknown,unknown,may,71,1,999,0
25,student,single,high.school,no,no,apr,54,1,999,0
35,admin.,married,high.school,no,no,jul,451,1,999,0
46,management,married,university.degree,no,no,jul,662,2,999,0
29,admin.,divorced,university.degree,no,no,jun,187,3,999,0
35,admin.,married,university.degree,yes,no,aug,82,4,999,0
48,entrepreneur,single,professional.course,yes,no,may,606,3,999,0
31,self-employed,single,university.degree,no,no,oct,76,1,999,0
33,blue-collar,divorced,basic.9y,no,yes,may,18,6,999,1
63,retired,divorced,university.degree,no,yes,jul,317,1,999,1
38,admin.,married,high.school,yes,no,nov,67,2,999,0
34,admin.,divorced,high.school,no,no,nov,492,2,6,3
34,services,divorced,high.school,no,no,jul,212,4,999,0
47,management,married,university.degree,yes,no,may,267,2,3,3
27,blue-collar,single,basic.9y,yes,no,may,185,1,999,0
24,admin.,single,university.degree,no,no,aug,744,1,999,2
36,blue-collar,married,basic.9y,yes,no,may,499,3,999,0
29,services,single,high.school,no,no,jun,123,2,999,0
58,retired,married,basic.9y,yes,no,jun,198,1,999,0
40,technician,married,professional.course,no,no,aug,156,1,999,0
31,admin.,single,university.degree,yes,no,aug,98,8,999,0
60,retired,married,basic.4y,no,no,aug,332,3,999,0
58,housemaid,married,basic.4y,yes,no,jul,35,1,999,0
32,blue-collar,single,basic.9y,yes,no,jul,124,2,999,0
54,admin.,divorced,university.degree,no,no,jun,213,4,999,0
43,technician,married,professional.course,yes,no,aug,145,2,999,0
48,retired,married,basic.4y,no,no,jun,145,8,999,0
33,admin.,married,university.degree,yes,no,nov,195,1,999,0
37,blue-collar,married,basic.9y,no,no,jul,179,2,999,0
35,services,divorced,professional.course,no,no,may,184,2,999,0
34,services,married,high.school,no,no,may,285,1,999,0
30,technician,single,university.degree,yes,no,aug,31,17,999,0
38,admin.,married,basic.9y,yes,no,jun,306,1,999,0
29,technician,divorced,professional.course,yes,no,may,14,5,999,1
49,entrepreneur,married,university.degree,yes,no,apr,334,1,999,0
48,management,divorced,university.degree,no,no,aug,117,1,999,0
33,management,married,high.school,yes,no,jul,155,2,999,0
33,admin.,single,university.degree,yes,yes,apr,117,1,999,0
42,management,married,university.degree,no,no,may,206,1,999,0
39,admin.,married,university.degree,no,no,jun,102,1,999,0
55,entrepreneur,married,university.degree,yes,yes,nov,157,2,999,0
46,management,married,university.degree,yes,no,may,311,3,999,0
55,blue-collar,divorced,basic.4y,no,yes,jun,115,3,999,0
42,entrepreneur,married,university.degree,yes,no,nov,58,1,999,1
24,student,single,high.school,yes,no,may,290,1,999,1
49,blue-collar,married,basic.9y,yes,no,aug,114,1,999,0
38,admin.,married,unknown,no,yes,jul,311,3,999,0
34,admin.,married,university.degree,no,no,aug,146,1,999,0
46,blue-collar,married,basic.4y,no,no,jul,111,1,999,0
45,technician,married,professional.course,yes,no,aug,360,5,999,0
40,admin.,married,basic.9y,yes,no,jul,106,4,999,0
46,admin.,divorced,basic.9y,no,no,may,423,1,999,0
31,blue-collar,single,basic.9y,no,no,jun,350,7,999,0
57,self-employed,married,basic.9y,yes,yes,may,122,1,999,0
36,admin.,married,university.degree,no,no,may,91,3,999,0
50,technician,married,professional.course,unknown,unknown,nov,319,2,999,1
32,admin.,single,high.school,yes,yes,apr,120,1,999,0
38,admin.,single,university.degree,yes,no,jul,82,2,999,0
50,admin.,married,university.degree,unknown,unknown,may,801,1,999,1
42,blue-collar,married,basic.4y,yes,no,jun,168,2,999,0
31,technician,married,professional.course,yes,no,aug,409,2,999,0
27,unemployed,single,university.degree,yes,no,jul,120,1,999,0
44,self-employed,divorced,high.school,yes,no,jun,123,1,999,0
26,housemaid,single,high.school,yes,yes,jul,127,1,999,0
30,blue-collar,single,high.school,yes,no,may,340,1,999,0
39,self-employed,single,high.school,yes,no,nov,169,1,999,0
64,retired,married,unknown,no,no,aug,252,4,999,0
36,management,married,university.degree,unknown,unknown,sep,331,1,6,4
42,blue-collar,married,basic.4y,yes,no,may,191,4,999,0
42,services,single,high.school,no,no,may,122,2,999,0
40,admin.,divorced,high.school,no,no,jul,1776,3,999,0
34,services,married,high.school,no,yes,may,362,2,999,1
31,blue-collar,married,basic.6y,yes,yes,may,237,2,999,0
49,admin.,single,university.degree,no,no,may,201,3,999,0
35,unemployed,divorced,basic.9y,no,no,jul,169,7,999,0
60,admin.,married,unknown,no,yes,may,213,2,999,0
38,admin.,divorced,basic.9y,no,no,nov,271,1,999,0
32,management,married,professional.course,no,no,may,125,1,999,1
50,self-employed,married,basic.9y,yes,yes,may,673,6,3,1
41,admin.,married,university.degree,yes,no,apr,961,6,999,0
45,admin.,married,high.school,no,no,may,215,2,999,0
46,blue-collar,married,basic.6y,no,yes,jun,179,2,999,0
55,unknown,married,basic.4y,yes,no,may,336,1,999,0
33,technician,divorced,professional.course,yes,no,may,44,1,999,0
45,blue-collar,married,unknown,no,no,may,223,1,999,0
29,blue-collar,married,high.school,yes,no,may,66,1,999,0
42,technician,married,high.school,no,no,jul,252,2,999,0
39,housemaid,married,university.degree,yes,no,may,167,2,999,0
58,blue-collar,married,unknown,yes,no,jul,180,4,999,0
32,management,divorced,university.degree,yes,no,jul,123,4,999,0
44,technician,divorced,professional.course,yes,no,apr,18,3,999,1
49,self-employed,married,professional.course,no,no,may,374,2,999,0
29,blue-collar,married,basic.6y,yes,no,may,108,4,999,0
51,management,married,university.degree,no,no,jun,16,17,999,0
36,admin.,married,university.degree,yes,no,aug,45,8,999,0
23,management,single,university.degree,yes,no,apr,122,1,999,0
31,management,single,university.degree,yes,no,aug,72,1,999,0
32,technician,married,unknown,yes,no,jul,107,2,999,0
58,self-employed,divorced,professional.course,no,no,jun,197,1,999,0
31,services,single,high.school,yes,no,jul,21,20,999,0
32,blue-collar,married,professional.course,yes,no,may,160,2,999,0
43,unemployed,married,high.school,no,no,aug,319,4,3,2
48,admin.,divorced,professional.course,yes,no,may,427,3,999,0
28,admin.,single,high.school,yes,no,jul,270,2,999,0
52,services,unknown,professional.course,yes,no,jun,7,2,999,0
36,management,married,university.degree,no,no,jun,22,1,999,0
39,admin.,divorced,high.school,yes,yes,apr,433,2,999,0
39,blue-collar,married,unknown,yes,no,jul,49,5,999,0
50,management,married,university.degree,yes,no,oct,258,1,999,1
29,admin.,single,university.degree,yes,no,nov,190,1,999,0
49,technician,divorced,professional.course,yes,no,may,130,3,999,0
36,blue-collar,married,basic.6y,no,no,nov,130,1,999,0
29,blue-collar,married,basic.9y,yes,no,may,182,6,999,0
27,entrepreneur,single,university.degree,no,no,jun,259,3,999,0
31,blue-collar,married,basic.9y,yes,no,jul,124,1,999,0
43,management,single,high.school,no,no,nov,40,1,999,0
32,blue-collar,married,unknown,no,no,nov,366,4,999,0
45,blue-collar,married,high.school,yes,no,aug,399,2,999,0
56,blue-collar,married,basic.4y,no,no,jun,133,2,999,0
38,admin.,married,high.school,unknown,unknown,may,23,16,999,0
35,blue-collar,married,basic.9y,no,no,may,170,1,999,0
30,admin.,single,university.degree,yes,no,aug,83,1,999,2
46,management,married,university.degree,no,no,apr,79,1,999,0
43,blue-collar,married,basic.9y,yes,no,may,93,4,999,2
38,technician,married,university.degree,no,no,may,257,2,999,0
52,retired,married,university.degree,yes,no,nov,188,2,999,0
30,technician,unknown,university.degree,no,no,oct,131,2,16,1
31,unemployed,married,high.school,no,no,nov,111,2,999,1
31,blue-collar,single,basic.4y,yes,no,may,73,1,999,0
24,technician,single,professional.course,no,no,may,175,1,999,1
34,admin.,single,university.degree,yes,no,jul,439,2,999,0
48,admin.,married,unknown,no,no,aug,262,1,999,0
30,admin.,married,university.degree,yes,no,aug,136,1,999,0
23,blue-collar,single,high.school,yes,no,jul,150,4,999,0
20,entrepreneur,single,high.school,no,no,may,598,3,999,0
43,admin.,divorced,high.school,no,no,jul,96,3,999,0
26,services,single,high.school,no,no,may,298,2,999,2
58,unemployed,single,basic.4y,no,no,jun,170,6,999,0
26,admin.,single,university.degree,yes,no,may,104,5,999,0
35,admin.,married,high.school,yes,no,may,213,14,999,0
35,admin.,married,high.school,no,no,jul,356,3,999,0
59,admin.,divorced,professional.course,no,no,aug,206,1,999,1
54,blue-collar,married,basic.4y,no,no,may,102,1,999,0
37,blue-collar,divorced,basic.9y,yes,no,jul,346,2,999,0
46,technician,divorced,professional.course,no,no,jun,53,2,999,0
52,services,married,high.school,no,no,jul,81,6,999,0
52,management,married,university.degree,yes,no,nov,67,1,999,0
32,student,single,university.degree,no,no,may,209,1,999,0
33,services,married,basic.4y,no,no,may,202,4,999,0
33,technician,divorced,high.school,yes,no,may,247,1,999,0
42,technician,single,unknown,no,no,may,230,2,999,0
38,blue-collar,divorced,unknown,yes,no,may,451,2,999,0
43,blue-collar,married,high.school,yes,no,may,190,1,999,0
49,admin.,divorced,university.degree,no,no,may,24,1,999,0
30,blue-collar,married,basic.9y,unknown,unknown,may,107,3,999,0
37,technician,married,professional.course,no,no,apr,54,2,999,0
47,blue-collar,married,professional.course,no,no,jul,86,2,999,0
32,blue-collar,married,basic.4y,yes,no,nov,111,8,999,0
32,unemployed,married,university.degree,yes,no,jul,47,2,999,0
35,services,divorced,university.degree,yes,no,may,215,1,999,0
36,management,divorced,university.degree,unknown,unknown,may,423,1,999,0
41,blue-collar,married,basic.9y,yes,no,may,233,2,999,0
48,blue-collar,married,basic.9y,yes,no,aug,67,2,999,0
43,technician,married,high.school,no,no,jul,1389,7,999,0
57,technician,married,university.degree,no,no,may,50,2,999,0
28,entrepreneur,married,university.degree,no,no,apr,774,2,999,0
30,services,single,high.school,no,no,jul,454,18,999,0
27,student,single,high.school,no,no,may,64,2,999,1
44,blue-collar,married,basic.6y,yes,no,may,212,1,999,0
43,services,married,basic.9y,no,no,jun,110,17,999,0
28,technician,married,basic.9y,yes,no,may,23,1,999,1
34,blue-collar,married,basic.9y,no,no,may,169,1,999,0
32,services,married,high.school,yes,no,jul,251,2,999,0
30,admin.,single,university.degree,yes,no,aug,353,10,999,0
45,admin.,divorced,university.degree,no,no,jul,508,1,999,0
49,blue-collar,married,basic.4y,yes,no,may,410,1,999,0
45,blue-collar,married,high.school,yes,no,may,89,5,999,0
56,technician,married,basic.9y,yes,no,may,52,2,999,0
48,admin.,single,university.degree,yes,no,aug,118,1,0,2
42,unemployed,married,high.school,yes,no,nov,154,2,999,0
51,management,married,university.degree,yes,yes,jun,409,2,999,0
54,blue-collar,married,basic.9y,no,no,jun,258,2,999,0
40,admin.,married,university.degree,yes,no,aug,335,2,999,0
47,blue-collar,single,basic.9y,yes,no,may,54,1,999,0
29,technician,single,university.degree,no,no,aug,896,6,999,0
37,admin.,married,university.degree,yes,yes,jun,412,2,999,0
35,technician,married,basic.9y,no,no,may,24,1,999,0
54,technician,married,professional.course,yes,no,nov,149,2,999,0
45,unknown,married,university.degree,yes,no,may,254,1,999,1
35,admin.,single,university.degree,yes,no,jul,564,2,999,0
37,blue-collar,married,professional.course,yes,no,may,185,1,999,1
38,management,married,basic.9y,yes,no,may,1000,1,999,0
33,blue-collar,married,basic.9y,yes,no,may,88,2,999,0
31,blue-collar,divorced,basic.9y,yes,no,jun,166,2,999,0
34,admin.,married,university.degree,no,no,may,134,1,999,0
51,blue-collar,divorced,high.school,no,no,may,131,2,999,0
38,blue-collar,married,high.school,yes,no,may,118,1,999,1
25,admin.,single,basic.9y,no,no,jul,81,3,999,0
35,technician,single,professional.course,yes,no,aug,75,6,999,0
55,self-employed,married,university.degree,yes,no,may,123,2,999,0
37,admin.,married,high.school,yes,no,may,313,1,999,0
31,technician,married,high.school,no,no,aug,124,3,999,0
36,services,married,high.school,unknown,unknown,may,262,4,999,0
59,retired,married,basic.4y,yes,yes,may,571,1,999,0
37,blue-collar,married,basic.6y,no,no,oct,131,1,999,0
74,retired,divorced,high.school,yes,yes,dec,88,6,999,0
44,technician,divorced,basic.9y,yes,yes,may,388,2,999,0
29,technician,single,professional.course,no,no,aug,157,3,999,0
32,services,married,basic.4y,yes,yes,nov,111,1,999,0
45,services,divorced,basic.9y,yes,no,apr,325,1,999,0
49,blue-collar,married,unknown,no,no,jun,112,4,999,0
25,services,single,unknown,no,no,jul,662,4,999,0
34,blue-collar,divorced,basic.4y,yes,no,jul,246,2,999,0
37,technician,single,professional.course,yes,no,aug,115,1,999,0
48,technician,single,university.degree,yes,no,aug,159,2,999,0
52,services,married,high.school,yes,no,aug,575,2,999,0
30,technician,single,professional.course,no,no,aug,216,3,999,0
57,retired,married,basic.9y,yes,no,aug,342,4,999,0
38,blue-collar,married,basic.4y,yes,no,nov,117,2,999,0
31,blue-collar,single,high.school,no,no,nov,145,1,999,0
40,technician,married,basic.9y,yes,no,jun,168,2,999,0
38,services,married,high.school,yes,yes,may,506,1,999,0
33,management,single,university.degree,no,no,may,261,1,999,0
28,admin.,single,university.degree,yes,no,sep,387,2,6,3
33,technician,married,professional.course,yes,no,aug,417,2,999,0
58,retired,married,basic.4y,no,no,jul,81,1,999,0
30,self-employed,married,professional.course,yes,no,may,98,5,999,0
42,self-employed,married,professional.course,no,no,may,160,1,999,1
35,technician,divorced,basic.4y,no,no,nov,363,1,999,0
41,housemaid,married,high.school,yes,no,jul,440,4,999,0
31,self-employed,single,university.degree,no,no,nov,906,1,999,1
40,admin.,married,high.school,no,no,may,167,1,999,0
80,retired,married,basic.4y,no,no,oct,242,1,999,2
47,blue-collar,married,high.school,no,no,apr,439,2,999,0
39,housemaid,married,basic.6y,yes,no,jul,76,4,999,0
30,technician,married,university.degree,no,no,aug,65,2,999,0
33,blue-collar,married,high.school,yes,no,may,233,1,999,0
50,management,married,university.degree,no,no,may,136,1,999,0
33,blue-collar,married,basic.9y,yes,no,may,656,1,999,0
40,technician,married,professional.course,yes,yes,jul,323,1,999,0
40,retired,married,basic.4y,yes,no,jul,1689,2,999,0
30,blue-collar,married,basic.9y,yes,no,jun,185,1,999,0
23,management,single,university.degree,yes,no,jul,134,1,999,0
28,blue-collar,married,basic.9y,no,no,may,182,2,999,1
41,self-employed,married,basic.9y,yes,no,may,1135,3,999,1
26,student,single,basic.9y,no,no,aug,449,1,999,0
45,admin.,married,university.degree,no,no,aug,216,1,999,0
28,admin.,single,university.degree,yes,no,oct,324,1,6,2
32,technician,married,university.degree,no,no,aug,198,1,999,0
32,management,single,university.degree,no,no,aug,157,1,999,0
56,entrepreneur,divorced,university.degree,no,yes,jun,311,1,999,0
45,admin.,divorced,basic.9y,yes,no,nov,575,9,999,0
29,technician,divorced,professional.course,yes,no,jun,11,19,999,0
33,technician,married,university.degree,yes,no,may,182,1,999,0
37,blue-collar,married,basic.4y,yes,no,jun,94,7,999,0
51,technician,married,professional.course,no,no,nov,272,1,999,0
32,blue-collar,married,basic.6y,unknown,unknown,jun,31,5,999,0
36,blue-collar,married,basic.4y,no,no,may,245,1,999,1
36,blue-collar,married,unknown,no,no,jun,179,1,999,0
32,technician,married,professional.course,no,no,jun,805,2,999,0
51,technician,married,professional.course,no,yes,jun,147,1,999,0
25,blue-collar,married,basic.9y,no,no,jun,71,1,999,0
39,entrepreneur,married,university.degree,yes,no,sep,120,3,999,0
33,blue-collar,married,basic.9y,yes,no,may,263,1,999,0
32,technician,single,professional.course,yes,no,jul,81,2,999,0
35,blue-collar,married,basic.9y,yes,no,may,180,1,999,0
41,technician,divorced,professional.course,unknown,unknown,oct,73,1,999,0
44,admin.,married,university.degree,no,no,may,202,1,999,0
34,management,married,university.degree,no,no,apr,163,1,999,0
27,services,single,high.school,yes,no,may,386,1,999,0
51,blue-collar,married,basic.4y,yes,no,jul,139,1,999,0
42,admin.,married,university.degree,no,no,may,42,4,999,0
61,blue-collar,married,high.school,no,no,oct,108,1,999,0
48,unemployed,married,professional.course,yes,no,sep,315,2,999,0
54,entrepreneur,married,university.degree,yes,no,nov,159,2,4,1
35,admin.,single,high.school,yes,yes,may,19,1,999,0
48,blue-collar,married,basic.9y,no,no,aug,348,2,999,0
23,technician,single,professional.course,yes,no,jul,194,2,999,0
33,blue-collar,married,basic.6y,no,no,may,1183,1,999,0
30,admin.,married,university.degree,no,no,aug,160,1,999,0
25,blue-collar,single,high.school,no,yes,may,338,3,999,0
44,technician,single,professional.course,no,no,may,374,6,999,0
29,technician,single,university.degree,no,yes,jul,357,7,999,0
55,retired,married,high.school,yes,no,aug,106,4,999,0
24,blue-collar,single,basic.9y,no,no,jul,270,1,999,0
61,admin.,married,university.degree,yes,no,apr,183,5,999,0
50,technician,married,basic.6y,no,no,may,36,3,999,1
37,self-employed,single,university.degree,yes,no,apr,270,2,999,1
33,housemaid,married,professional.course,yes,no,aug,110,1,999,0
48,unemployed,married,university.degree,yes,no,mar,195,2,999,0
57,retired,married,basic.9y,yes,no,aug,27,6,999,0
33,management,divorced,university.degree,yes,no,jun,63,1,999,0
40,housemaid,divorced,high.school,no,no,jun,1449,6,999,0
30,self-employed,single,university.degree,no,no,aug,58,1,999,0
34,self-employed,married,university.degree,no,no,oct,201,1,5,3
54,management,divorced,university.degree,yes,no,may,106,3,999,0
31,admin.,married,university.degree,no,no,apr,170,1,999,0
31,technician,single,professional.course,yes,no,aug,935,1,999,0
53,unemployed,married,basic.9y,yes,no,may,67,4,999,0
43,admin.,single,university.degree,yes,no,apr,670,4,11,1
36,blue-collar,married,basic.9y,yes,no,may,620,1,999,0
47,admin.,divorced,university.degree,yes,no,aug,507,4,999,0
30,technician,married,university.degree,yes,yes,jul,204,4,999,0
31,self-employed,married,university.degree,yes,yes,nov,60,1,999,1
37,services,single,basic.9y,no,no,may,348,1,999,0
27,blue-collar,single,basic.6y,no,no,jul,1508,1,999,0
46,admin.,married,high.school,no,no,jun,354,2,999,0
41,technician,married,basic.9y,yes,no,may,66,1,999,1
44,blue-collar,married,basic.9y,no,no,jun,109,4,999,0
33,admin.,married,university.degree,yes,no,may,171,2,999,0
58,blue-collar,divorced,basic.4y,no,no,aug,186,1,999,0
34,self-employed,married,university.degree,yes,no,nov,213,5,999,0
60,admin.,single,high.school,no,yes,may,474,2,999,0
29,blue-collar,married,basic.4y,no,yes,nov,441,1,999,0
26,admin.,single,high.school,no,no,jun,463,1,999,0
31,services,single,high.school,yes,no,may,17,2,999,0
36,services,married,university.degree,yes,no,nov,86,3,999,0
59,blue-collar,married,basic.4y,no,no,jul,202,2,999,0
61,retired,married,university.degree,yes,no,apr,216,1,999,0
30,technician,married,high.school,no,no,aug,142,1,999,0
40,retired,married,professional.course,no,no,may,140,1,999,0
48,technician,married,high.school,no,no,may,700,1,999,0
47,services,single,high.school,no,no,jul,293,1,999,0
32,technician,married,university.degree,yes,no,aug,402,1,999,0
31,admin.,married,professional.course,yes,no,aug,126,1,999,0
33,blue-collar,married,basic.9y,yes,no,may,112,4,999,0
30,services,single,high.school,no,no,may,263,2,999,0
49,management,married,university.degree,yes,no,apr,44,1,999,0
53,self-employed,married,university.degree,yes,no,nov,61,4,999,0
33,admin.,married,high.school,yes,no,may,176,1,999,0
46,services,married,high.school,yes,no,may,6,1,999,1
45,admin.,married,high.school,yes,no,may,695,1,999,0
31,technician,single,professional.course,yes,no,may,188,7,999,0
28,blue-collar,single,basic.9y,no,no,may,77,3,999,0
29,admin.,single,university.degree,yes,yes,nov,736,1,999,0
26,blue-collar,single,basic.9y,yes,no,jul,56,3,999,0
20,student,single,unknown,yes,no,apr,184,4,999,0
42,services,married,high.school,yes,yes,may,77,2,999,1
31,blue-collar,married,basic.9y,yes,no,nov,415,1,999,0
56,entrepreneur,married,university.degree,no,yes,jul,41,1,999,0
43,housemaid,divorced,professional.course,no,yes,aug,306,5,999,0
44,management,married,high.school,no,yes,jul,292,1,999,0
30,admin.,married,high.school,yes,no,jul,362,2,999,0
31,admin.,single,university.degree,no,no,sep,123,3,999,0
53,entrepreneur,divorced,university.degree,yes,no,nov,107,1,999,1
50,retired,married,basic.4y,yes,no,may,855,4,999,0
37,unemployed,married,university.degree,unknown,unknown,may,34,1,999,0
43,blue-collar,married,unknown,no,no,may,512,6,999,0
45,admin.,married,basic.9y,no,no,jun,973,2,999,0
29,admin.,divorced,university.degree,yes,no,jun,238,3,999,0
53,services,married,high.school,no,no,may,429,1,999,0
34,technician,married,university.degree,no,no,apr,82,6,999,0
72,retired,married,high.school,no,no,nov,257,1,999,0
25,admin.,single,university.degree,yes,no,apr,229,2,999,0
46,admin.,married,high.school,no,no,jun,47,4,999,0
39,admin.,single,high.school,no,no,jul,9,6,999,0
57,management,married,university.degree,yes,yes,nov,283,1,999,1
24,admin.,single,professional.course,yes,yes,jun,233,1,999,0
40,blue-collar,married,basic.6y,yes,no,jun,5,1,999,0
45,services,married,high.school,yes,no,may,349,2,999,0
33,entrepreneur,married,university.degree,yes,no,may,130,3,999,0
34,blue-collar,married,basic.9y,no,no,jun,157,29,999,0
24,admin.,single,high.school,no,no,jul,452,1,14,1
55,entrepreneur,divorced,basic.9y,no,no,dec,415,7,999,0
54,blue-collar,married,basic.6y,yes,no,jul,34,1,999,0
32,technician,single,university.degree,no,no,aug,182,1,999,0
27,student,single,high.school,no,no,mar,219,1,999,0
45,management,married,university.degree,yes,yes,may,265,3,999,0
47,services,divorced,basic.9y,no,no,jul,678,1,999,0
29,services,married,high.school,no,no,may,189,2,999,0
42,admin.,single,university.degree,yes,yes,jul,115,1,999,0
28,student,single,high.school,no,no,apr,319,3,999,0
27,self-employed,single,university.degree,no,no,may,367,2,999,0
45,admin.,divorced,university.degree,yes,no,may,197,2,999,0
45,entrepreneur,married,basic.4y,yes,no,nov,167,5,999,0
33,management,single,university.degree,no,no,may,125,2,999,0
36,technician,married,professional.course,no,no,jul,71,2,999,0
34,technician,single,high.school,yes,no,jul,106,2,999,0
30,technician,single,university.degree,no,no,aug,360,1,999,0
33,blue-collar,married,basic.4y,yes,no,jul,273,2,999,0
